日付 (YYYYMMDD),題（タイトル）,カテゴリー,説明 ※3行以内,,,,,,,
20250203,オロチ狩り,イラスト,追われるオロチ＝これからのトークン価格上昇をイメージしました。,,,,,,,
20250204,オロチの夢守り,イラスト,金運・健康運アップの夢をお届け！特に白オロチは大吉。,,,,,,,
20250205,ウロボロス開運ステッカー,イラスト,運もエネルギーも巡る。無限のご利益を願って描きました。,,,,,,,
20250206,Token-Off,イラスト,トークン売らないで！！を表現しました。,,,,,,,
20250207,梅オロチ,イラスト,梅の香に導かれ、静かに運が芽吹く。春を待つ白オロチを描きました。,,,,,,,
20250208,カーネルオロチ,イラスト,気づけばカーネル風。クリプト界の味付けはオロチにお任せあれ。,,,,,,,
20250209,雲外蒼天,イラスト,希望と開運を胸に、上昇をイメージを表現しました。,,,,,,,
20250210,開運給湯器06℃,イラスト,06℃(オロチ)急上昇で温めます！,,,,,,,
20250211,デコオロチ,イラスト,思いつくまま自由にデコってみました。開運は個性の先にあると信じて。,,,,,,,
20250212,キンタロオロチ,イラスト,どこを切ってもオロチ。ぎっしり詰まった開運のかたまりを表現しました。,,,,,,,
20250213,寝スマホ厳禁,イラスト,目が潰れる前にストップ。小さな習慣の見直しが、開運の第一歩です。,,,,,,,
20250214,バレンタイン,イラスト,甘くとろけるご利益を込めて描きました。,,,,,,,
20250215,彫刻オロチ展,イラスト,美術館で湧いたインスピレーション。静かな癒しと開運を込めました。,,,,,,,
20250216,ボッチオロチ,イラスト,静かに、景色の中で開運を祈るオロチを描きました。,,,,,,,
20250217,鯉蛇,イラスト,オロチを放流。静かに満ちる運気とともに、願いが広がっていきますように。,,,,,,,
20250218,ガチホでいこうぜ！,イラスト,開運オロチからペパハンさんたちへの警鐘を表現した作品。,,,,,,,
20250219,おろチロー,イラスト,気象予報士とおろチローが運気と天気をお届けする作品。,,,,,,,
20250220,ヘビの執念,イラスト,トークン早押し争奪戦に挑む者の覚悟の忍耐と執念を描きました。,,,,,,,
20250221,オロチを描くオロチ,イラスト,オロチ自身が筆をとり開運創作した作品。,,,,,,,
20250222,オロマウス,イラスト,開運アイテムを想像したら目の前マウスがオロチなりました。,,,,,,,
20250223,うまれるやさしさ,イラスト,足りないからこそ生まれる思いやり。心と運の扉がそっと開きます。,,,,,,,
20250224,オロチ筆一閃,イラスト,運気を切り拓く力になると信じて描きました。,,,,,,,
20250225,オロチフェスティバル,イラスト,もしフェスがあるなら、全力でオロチ装って参戦。,,,,,,,
20250226,オロチェち,イラスト,砂浜に描いた開運の文字。少しくずれても、それもまたよき思い出。,,,,,,,
20250227,オロチックアート,イラスト,感じてもらえたらそれでOK。自由な線に開運を込めました。,,,,,,,
20250228,蛇獣戯画,イラスト,鳥獣戯画ならぬ蛇獣戯画。カエルもびっくり、でもこれは開運の追い風。,,,,,,,
20250301,オロチ世界遺産,イラスト,オロチがいつか世界遺産になって欲しいという思いを込めて作りました。,,,,,,,
20250302,ひなオロチ,イラスト,ひな人形になったオロチが、皆さまの健やかな成長と開運をお祈りします。,,,,,,,
20250303,開運波図,イラスト,波にオロチを乗せました。開運の波が富士を超える日を願って描きました。,,,,,,,
20250304,SK-Ⅲ,イラスト,美しさの裏に秘めたる開運パワーをご堪能ください。,,,,,,,
20250305,オロチス,イラスト,トークン道をゲームから連想しました。”買っては売られ”を”積んでは崩れる”。,,,,,,,
20250306,中二病全開,イラスト,中二病全開で描いた、最強クラスの開運体です。,,,,,,,
20250307,いい時間、もろいそ,イラスト,やさしさに包まれたひとときが、確かな開運へとつながる気がしました。,,,,,,,
20250308,木霊,イラスト,古木に宿るオロチの姿を描きました。開運な神木。,,,,,,,
20250309,サンキューの日,イラスト,素直な「ありがとう」が、幸運を呼び込みます。,,,,,,,
20250310,親子オロチ,イラスト,親子のぬくもりとやさしさに包まれた時間をイメージして描きました。,,,,,,,
20250311,トークン買って係オロチ,イラスト,たくさんのくじらが来てくることを願って描きました。,,,,,,,
20250312,駄々オロチ,イラスト,「おしゃれオロチ」を目指したが“黙して語らぬ異界の使者”になりました。,,,,,,,
20250313,ホワイトデー,イラスト,甘くとろけるご利益のおかえしを描きました。,,,,,,,
20250601,オロチ夢の国へ,AI,来てはいけないところに来てしまった。。,,,,,,,
20250602,上空に警戒せよ,AI,ナルカミアタックで弁当持ってかれてしまった。。,,,,,,,
20250603,トキすでにオロチ,イラスト,"トキは時でもあの時のトキでした。
トキという有名キャラクターからの逆転の発想。",,,,,,,
20250604,開運お守り,イラスト,"よく頼りにしている神社のお守りを
そのままオロチで表現しました。",,,,,,,
20250605,トキすでにブングル,動画,"テレビが壊れるのどの”悔しいです""の主張",,,,,,,
20250606,トキすでに高須,AI,金持ちがドバイでヘリ飛ばして、美容整形しまくって、豪遊。。,,,,,,,
20250607,胸毛の日,イラスト,6/7に作りました。6/7(胸毛)でしたのでそのままを表現しました。,,,,,,,
20250608,グラデーションオロチ,イラスト,グラデーション＆ブレンドされた開運なオロチを表現しました。,,,,,,,
20250609,紫陽花オロチ,イラスト,ジメジメな天気でも開運オロチが味方していると言うことを表現しました。,,,,,,,
20250610,手を結べば、運も結ばれる,イラスト,ロゴを作りたくて、”手を結ぶ＝運も結ばれる”開運ロゴを表現しました。,,,,,,,
20250611,メンタル豆腐に負けない,イラスト,気持ちが弱ってたのでイラストで自分を高めるため作成しました。,,,,,,,
20250612,開運USB,イラスト,USBがいつも上下逆でささらなくてイライラいする気持ちを表現しました。,,,,,,,
20250613,たくさんこなせない人,イラスト,あれもこれも一気にたくさんできません””を表現しました。,,,,,,,
20250614,開運の風,イラスト,開運な風がみな様にも吹いて欲しいという気持ちを表現しました。,,,,,,,
20250615,上昇したい,イラスト,今はとべなくても、コツコツ頑張って高みに行きたい！と言う気持ちを表現しました。,,,,,,,……
20250616,オロチの開運ハンドタオル,イラスト,これから暑くなるのでハンカチタオルっと思ったので作成しました。,,,,,,,
20250617,オロチクリーム,イラスト,ジリジリをソフトクリームで回避したいっという気持ち表現しました。,,,,,,,
20250618,おにぎりの日,イラスト,おにぎりの日だったのでおにぎりとオロチをあわせて握ってみました。,,,,,,,
20250619,開運オロチャーズ,イラスト,オロ谷さんもびっくり！KUオロチャーズ結成です。,,,,,,,
20250620,秒でできたロゴ”カイソン”,イラスト,バイブコーディングはじめてからよく見るこれはほぼほぼオロチでした。,,,,,,,
20250621,見逃し配信,AI,朝活ラジオまさかのステルス配信。。気づけんわ。。,,,,,,,
20250622,開運席,イラスト,ゆくゆくはオロチトークの保有者の特典となるだろうを表現しました。,,,,,,,
20250623,開運パワーの破壊力,動画,100人乗っても大丈夫」って聞いてたのに。。,,,,,,,
20250624,シンプル＆スッキリな開運,イラスト,シンプルのまつりたくなるオロチを表現しました。,,,,,,,
20250625,開運無理ゲーボーリング場,イラスト,オロチピン ＝ 開運オロチは倒れない,,,,,,,
20250626,露天風呂の日,イラスト,6/26(露天風呂)でくつろぐオロチ表現しました。,,,,,,,
20250627,夏を背に梅雨を送る,イラスト,雨明け間近を表現しました。,,,,,,,
20250628,トランスフォーム,動画,赤い彗星もビビるやつ表現しました。,,,,,,,
20250629,MSオロチ,AI,赤い彗星もビビるやつ表現しました。,,,,,,,
20250630,ハーフタイム,イラスト,今年半分終了をオロチの砂時計で表現しました。,,,,,,,
20250701,刻まれし開運,イラスト,オロチ好きのDIYを表現しました。,,,,,,,
20250702,蛇ノ目とオロチ,イラスト,クリップスタジオの練習で描きました。,,,,,,,
20250703,オロチ専用スリーブ,イラスト,オロチ使いさんの為のCNPトレカのスリーブをイメージしました。,,,,,,,
20250704,開運冷麺,イラスト,冷やしオロチ、はじめました,,,,,,,
20250705,旅先開運散財録,AI,「せっかくだし…」が口ぐせに。買いすぎました。。,,,,,,,
20250706,運も、涼しく保存中,イラスト,暑くてしかたなかったので、オロチ凍らせました。,,,,,,,
20250707,願い結ぶ・七夕,イラスト,短冊に込めた願い、きっとオロチが叶えてくれる。,,,,,,,
20250708,貴族の装備,AI,日傘が貴族のやつだった。。,,,,,,,
20250709,かたちの中,イラスト,言葉を超えて伝わる“開運”の意志を表現してみました。,,,,,,,
20250710,HEY!JO!KYO!,イラスト,7.10（ナント）りっぱな巨大オロチ合成しました。,,,,,,,
20250711,圧倒的存在感,AI,パビリオン大部分を占拠してしまう。。,,,,,,,
20250712,海運オロチ,イラスト,オロチのコンテナが街をはったらいいのにっという妄想を合成しました。,,,,,,,
20250713,覚醒ノ刻,イラスト,中２病炸裂作品。闇を超えし者よ…その血に宿るは、運命。,,,,,,,
20250714,ひまわりの日,イラスト,実は「ひまわり1号」という気象衛星の記念日だった。,,,,,,,
20250715,祝福の飽和,動画,制御不能の開運パワーを表現しました。,,,,,,,
20250716,開運招きオロチ,イラスト,トークンを呼び寄せる招き猫…ならぬ招きオロチを表現しました。,,,,,,,
20250717,祝・開運オロチトークン 半年,イラスト,運用開始から6ヶ月を迎えた喜びを描きました。,,,,,,,
20250718,Aniちゃんは僕の天使,AI,Aniちゃんを探しにアキバへいく。。,,,,,,,
20250719,たのしく、クールに、セクシーに,イラスト,進次郎オロチ炸裂。,,,,,,,
20250720,友だちと海へ,イラスト,オロチくんとミタマちゃんの仲良しな一日を描いてみました。,,,,,,,